
Time, Event 



4/13/2021 11:58:48 PM,Glanceable Session Started


4/13/2021 11:58:48 PM,Glanceable Session Started
4/13/2021 11:58:51 PM, Manually made Opaque
4/13/2021 11:58:54 PM, Manually made Translucent


4/13/2021 11:59:10 PM,ACI Session Started


4/13/2021 11:59:26 PM,Glanceable Session Started


4/13/2021 11:59:35 PM,ACI Session Started


4/13/2021 11:59:36 PM,Glanceable Session Started


4/13/2021 11:59:37 PM,ACI Session Started
Time, Event 



4/14/2021 12:00:26 AM,Glanceable Session Started


4/14/2021 12:00:26 AM,Glanceable Session Started
4/14/2021 12:00:33 AM, Manually made Translucent


4/14/2021 12:00:42 AM,Glanceable Session Started
4/14/2021 12:01:00 AM, Manually made Translucent
4/14/2021 12:01:01 AM, Manually made Opaque


4/14/2021 12:01:12 AM,ACI Session Started
4/14/2021 12:01:19 AM, is Blocking a face
4/14/2021 12:01:19 AM, isnotBlocking a face
4/14/2021 12:01:32 AM, is Blocking a face
4/14/2021 12:01:32 AM, isnotBlocking a face
4/14/2021 12:01:47 AM, is Blocking a face
4/14/2021 12:01:47 AM, isnotBlocking a face
4/14/2021 12:01:48 AM, is Blocking a face
4/14/2021 12:01:48 AM, isnotBlocking a face
4/14/2021 12:01:58 AM, is Blocking a face
4/14/2021 12:01:58 AM, isnotBlocking a face
Time, Event 



4/14/2021 10:05:43 AM,Glanceable Session Started


4/14/2021 10:05:43 AM,Glanceable Session Started


4/14/2021 10:05:52 AM,ACI Session Started


4/14/2021 10:05:58 AM,Glanceable Session Started


4/14/2021 10:06:00 AM,ACI Session Started
Time, Event 



4/14/2021 10:07:06 AM,Glanceable Session Started


4/14/2021 10:07:06 AM,Glanceable Session Started


4/14/2021 10:07:12 AM,ACI Session Started


4/14/2021 10:07:14 AM,Glanceable Session Started


4/14/2021 10:07:15 AM,ACI Session Started
4/14/2021 10:07:17 AM, Manually made Opaque
4/14/2021 10:07:20 AM, Manually made Translucent
4/14/2021 10:07:28 AM, Manually made Opaque
4/14/2021 10:07:32 AM, is Blocking a face
4/14/2021 10:07:33 AM, isnotBlocking a face
Time, Event 



4/14/2021 10:29:47 AM,Glanceable Session Started


4/14/2021 10:29:47 AM,Glanceable Session Started
Time, Event 



4/14/2021 10:30:22 AM,Glanceable Session Started


4/14/2021 10:30:22 AM,Glanceable Session Started
Time, Event 



4/14/2021 10:43:04 AM,Glanceable Session Started


4/14/2021 10:43:04 AM,Glanceable Session Started


4/14/2021 10:43:14 AM,ACI Session Started


4/14/2021 10:43:16 AM,Glanceable Session Started
4/14/2021 10:43:20 AM, Manually made Translucent
4/14/2021 10:43:20 AM, Manually made Opaque


4/14/2021 10:43:24 AM,ACI Session Started
4/14/2021 10:43:32 AM, is Blocking a face
4/14/2021 10:43:32 AM, isnotBlocking a face
4/14/2021 10:43:37 AM, is Blocking a face
4/14/2021 10:43:37 AM, isnotBlocking a face
Time, Event 



4/14/2021 11:54:29 AM,Glanceable Session Started


4/14/2021 11:54:29 AM,Glanceable Session Started


